No.,Ticker,Company,Sector,Industry,Country,Market Cap,P/E,Price,Change,Volume
177,FBHS,"Fortune Brands Home & Security, Inc.",Consumer Cyclical,"Furnishings, Fixtures & Appliances",USA,12.98B,24.68,97.15,1.39%,"987,535"
178,FCX,Freeport-McMoRan Inc.,Basic Materials,Copper,USA,46.47B,84.82,33.76,2.52%,"16,271,570"
179,FDX,FedEx Corporation,Industrials,Integrated Freight & Logistics,USA,73.32B,25.11,283.54,-0.18%,"1,343,522"
180,FE,FirstEnergy Corp.,Utilities,Utilities - Diversified,USA,18.63B,18.58,34.31,-1.10%,"3,900,978"
181,FFIV,"F5 Networks, Inc.",Technology,Software - Infrastructure,USA,12.45B,43.94,211.11,1.19%,"456,103"
182,FIS,"Fidelity National Information Services, Inc.",Technology,Information Technology Services,USA,87.27B,573.90,144.05,2.45%,"2,640,097"
183,FISV,"Fiserv, Inc.",Technology,Information Technology Services,USA,81.35B,87.39,122.17,2.63%,"4,114,180"
184,FITB,Fifth Third Bancorp,Financial,Banks - Regional,USA,26.51B,20.79,37.98,1.42%,"5,850,688"
185,FLIR,"FLIR Systems, Inc.",Technology,Scientific & Technical Instruments,USA,7.44B,35.30,56.87,0.71%,"1,503,361"
186,FLS,Flowserve Corporation,Industrials,Specialty Industrial Machinery,USA,4.99B,44.44,39.46,1.67%,"605,913"
187,FLT,"FLEETCOR Technologies, Inc.",Technology,Information Technology Services,USA,23.03B,34.37,279.50,4.05%,"506,802"
188,FMC,FMC Corporation,Basic Materials,Agricultural Inputs,USA,14.11B,25.25,111.92,1.18%,"660,373"
189,FOX,Fox Corporation,Communication Services,Broadcasting,USA,20.54B,13.85,35.00,0.20%,"2,370,144"
190,FOXA,Fox Corporation,Communication Services,Broadcasting,USA,22.40B,14.35,36.31,0.55%,"3,407,540"
191,FRC,First Republic Bank,Financial,Banks - Regional,USA,28.89B,28.93,167.94,0.71%,"592,429"
192,FRT,Federal Realty Investment Trust,Real Estate,REIT - Retail,USA,7.85B,64.21,103.95,2.46%,"648,514"
